Date,A/C Type,Location,Fatalities,Registration,detail.url
"Mar 31, 2019",Epic LT,"Egelsbach, Hesse",3,RA-2151G,http://www.baaa-acro.com/crash/crash-epic-lt-near-egelsbach-3-killed
"Mar 23, 2019",Beechcraft 200 Super King Air,"Matsieng, Kgatleng District",1,A2-MBM,http://www.baaa-acro.com/crash/crash-beechcraft-b200-super-king-air-matsieng-1-killed
"Mar 22, 2019",Rockwell Sabreliner 60,"Bajamar, Cortés",0,N990PA,http://www.baaa-acro.com/crash/crash-rockwell-sabreliner-60-near-bajamar
"Mar 18, 2019",IAI 1124 Westwind,"Sundance, Oklahoma",2,N4MH,http://www.baaa-acro.com/crash/crash-iai-1124-westwind-sundance-2-killed
"Mar 17, 2019",Cessna 421B Golden Eagle II,"Delaware, Ohio",1,N424TW,http://www.baaa-acro.com/crash/crash-cessna-421b-golden-eagle-ii-delaware-1-killed
"Mar 12, 2019",Piper PA-31-350 Navajo Chieftain,"Madeira, Ohio",1,N400JM,http://www.baaa-acro.com/crash/crash-piper-pa-31-350-navajo-chieftain-madeira-1-killed
"Mar 10, 2019",BAe 125,"San Pedro de Peralta, Quintana Roo",1,N18BA,http://www.baaa-acro.com/crash/crash-bae-125-700a-san-pedro-de-peralta-1-killed
"Mar 10, 2019",Boeing 737 MAX 8,"Debre Zeit (Bishoftu), Oromia",157,ET-AVJ,http://www.baaa-acro.com/crash/crash-boeing-737-max-8-near-debre-zeit-157-killed
"Mar 9, 2019",Douglas DC-3,"Finca La Bendición, Meta",14,HK-2494,http://www.baaa-acro.com/crash/crash-douglas-dc-3-finca-la-bendicion-14-killed
"Mar 5, 2019",Pilatus PC-6 (Porter & Turbo Porter),"Wat Bang Sala, Songkhla (สงขลา)",0,74-2079,http://www.baaa-acro.com/crash/crash-pilatus-au-23a-turbo-porter-wat-bang-sala
"Mar 4, 2019",Embraer ERJ-145,"Presque Isle, Maine",0,N14171,http://www.baaa-acro.com/crash/crash-embraer-erj-145xr-presque-isle
"Feb 28, 2019",Piper PA-46 Malibu Meridian (Malibu Mirage),"Shreveport-Downtown, Louisiana",2,N428CD,http://www.baaa-acro.com/crash/crash-piper-pa-46-350p-malibu-mirage-shreveport-2-killed
"Feb 23, 2019",Boeing 767-300,"Anahuac, Texas",3,N1217A,http://www.baaa-acro.com/crash/crash-boeing-767-375er-anahuac-3-killed
"Feb 15, 2019",Cessna 421C Golden Eagle III,"Waterfield Lake, Texas",2,N421NS,http://www.baaa-acro.com/crash/crash-cessna-421c-golden-eagle-iii-near-waterfield-lake-2-killed
"Feb 8, 2019",Convair C-131 Samaritan,"Miami, Florida",1,N145GT,http://www.baaa-acro.com/crash/crash-convair-c-131b-samaritan-miami-1-killed
"Feb 6, 2019",Piper PA-46 Malibu Meridian (Malibu Mirage),"Aurora State, Oregon",0,N997MA,http://www.baaa-acro.com/crash/crash-piper-pa-46-350p-malibu-mirage-aurora
