Date,A/C Type,Location,Fatalities,Registration,detail.url,Flight Phase,Circumstances
"Mar 31, 2019",Epic LT,"Egelsbach, Hesse",3,RA-2151G,http://www.baaa-acro.com/crash/crash-epic-lt-near-egelsbach-3-killed,Landing (descent or approach),"While approaching Egelsbach runway 08 in good weather conditions, the single engine airplane went out of control and crashed in flames in an asparagus plantation located in Erzhausen, south of the airfield. The aircraft was totally destroyed by a post crash fire and all three occupants were killed, among them Natalia Fileva, co-owner of the Russian Operator S7 Airlines. "
"Mar 23, 2019",Beechcraft 200 Super King Air,"Matsieng, Kgatleng District",1,A2-MBM,http://www.baaa-acro.com/crash/crash-beechcraft-b200-super-king-air-matsieng-1-killed,Flight,"Earlier in the afternoon the pilot was an uninvited guest at a private function that was held at the Matsieng Flying Club facility at Matsieng Aerodrome. In a statement, the Matsieng Flying Club reported that it was rumored that the pilot was involved in a domestic dispute earlier in the afternoon. At 2015LT the aircraft approached Matsieng Aerodrome from the direction of Sir Seretse Khama Airport and made a number of low level fly passes from different directions past the Club facilities next to the Air Traffic Control tower. An immediate evacuation of the club premises was ordered. The final extreme low level run by the aircraft along runway 36 resulted in an impact with the Matsieng Flying Club facility at ground level. The Club facility and Matsieng ATC tower was destroyed on impact. The post impact fire destroyed 13 parked vehicles. The emergency services of the Kgatleng District Council were on the scene within minutes to attend to the post-impact fire and distress. These response actions are to be commended. It is believed that the pilot had no permission to fly the aircraft involved. Sole on board, he was killed. Pilot suicide suspected. "
"Mar 22, 2019",Rockwell Sabreliner 60,"Bajamar, Cortés",0,N990PA,http://www.baaa-acro.com/crash/crash-rockwell-sabreliner-60-near-bajamar,Landing (descent or approach),"The aircraft crashed in unknown circumstances in an isolated and uninhabited area located about 14 km east of Bajamar, Honduras. Probably engaged in an illegal mission (drug smuggling flight) as a pack of cocaine and a gun were found in the wreckage. Apparently, nobody was found as the crew disappeared. "
"Mar 18, 2019",IAI 1124 Westwind,"Sundance, Oklahoma",2,N4MH,http://www.baaa-acro.com/crash/crash-iai-1124-westwind-sundance-2-killed,Landing (descent or approach),"The twin engine airplane departed Panama City-Northwest Florida Beaches International Airport at 1330LT bound for Sundance Airport located northwest of Oklahoma City. On short final, the airplane went out of control and crashed inverted in a grassy area located to the left of runway 18. The aircraft was destroyed and both occupants were killed. "
"Mar 17, 2019",Cessna 421B Golden Eagle II,"Delaware, Ohio",1,N424TW,http://www.baaa-acro.com/crash/crash-cessna-421b-golden-eagle-ii-delaware-1-killed,Landing (descent or approach),"While descending to Delaware Municipal Airport, the pilot contacted ATC, requested an approach to runway 28 and reported icing conditions. Shortly later, the airplane went out of control, struck a utility pole and crashed in a snow covered field located about eight miles southwest of the airport. The aircraft disintegrated on impact and the pilot, sole on board, was killed. "
"Mar 12, 2019",Piper PA-31-350 Navajo Chieftain,"Madeira, Ohio",1,N400JM,http://www.baaa-acro.com/crash/crash-piper-pa-31-350-navajo-chieftain-madeira-1-killed,Flight,"The pilot, sole on board, departed Cincinnati-Municipal Airport in the early afternoon for a local survey mission. In unknown circumstances, he lost control of the airplane that struck the roof of a house and crashed in flames in a garden located in Madeira, about six miles northeast of Cincinnati-Municipal Airport. The aircraft was destroyed by a post crash fire and pilot was killed. "
"Mar 10, 2019",Boeing 737 MAX 8,"Debre Zeit (Bishoftu), Oromia",157,ET-AVJ,http://www.baaa-acro.com/crash/crash-boeing-737-max-8-near-debre-zeit-157-killed,Takeoff (climb),"On March 10, 2019, at 05:38 UTC, Ethiopian Airlines flight 302, Boeing 737-8(MAX), ET-AVJ, took off from Addis Ababa Bole Int. Airport bound to Nairobi, Kenya Jomo Kenyatta Int. Airport. Shortly after takeoff, the Angle of Attack sensor recorded value became erroneous and the left stick shaker activated and remained active until near the end of the flight. In addition, the airspeed and altitude values from the left air data system began deviating from the corresponding right side values. Due to flight control problems, the Captain was unable to maintain the flight path and requested to return back to the departure airport. The crew lost control of the aircraft which crashed at 5: 44 UTC 28 NM South East of Addis Ababa near Ejere village. Both CVR and DFDR were recovered in the morning of March 11. The 737 MAX 8 version was grounded until further notice.
A preliminary report is available below. "
"Mar 10, 2019",BAe 125,"San Pedro de Peralta, Quintana Roo",1,N18BA,http://www.baaa-acro.com/crash/crash-bae-125-700a-san-pedro-de-peralta-1-killed,Flight,"The aircraft was engaged in an illegal mission, carrying a load of 200 kg of cocaine. En route, the crew apparently encountered an unexpected situation and was forced to attempt an emergency landing when the airplane crashed in a wooded area located near San Pedro de Peralta. A pilot was killed while the second was seriously injured. The registration is apparently fake. "
"Mar 9, 2019",Douglas DC-3,"Finca La Bendición, Meta",14,HK-2494,http://www.baaa-acro.com/crash/crash-douglas-dc-3-finca-la-bendicion-14-killed,Flight,"While descending to Villavicencio-La Vanguardia Airport, the crew contacted ATC and declared an emergency when the airplane crashed in flames in a palm grove located in Finca La Bendición, about 35 km south of La Vanguardia Airport. The aircraft was partially destroyed by a post crash fire and all 14 occupants were killed. "
"Mar 5, 2019",Pilatus PC-6 (Porter & Turbo Porter),"Wat Bang Sala, Songkhla (สงขลา)",0,74-2079,http://www.baaa-acro.com/crash/crash-pilatus-au-23a-turbo-porter-wat-bang-sala,Flight,"The single engine airplane departed Pattani (9th AF Command) at 1156LT bound for the Wing 56 Air Division 4 located at Hat Yai Airport. En route, the crew encountered technical problems with the engine and decided to attempt an emergency landing when the airplane crashed in a small wooded terrain located in the region of Wat Bang Sala. All three occupants were injured and the aircraft was written off. "
"Mar 4, 2019",Embraer ERJ-145,"Presque Isle, Maine",0,N14171,http://www.baaa-acro.com/crash/crash-embraer-erj-145xr-presque-isle,Landing (descent or approach),"Following an uneventful flight from Newark on flight UA4933 (CommutAir flight CS4933), the crew started the descent to runway 01 at Presque Isle Airport, Maine. At 1109LT, at an altitude of 2,000 feet, in a limited visibility due to snow falls and freezing rain, the captain decided to initiate a go-around. About 20 minutes later, the crew started a second approach to runway 01. After touchdown, the aircraft went out of control and veered off runway to the right. While contacting snow, both main landing gears collapsed. The left main gear was torn off and collided with the left engine before the airplane came to a stop. A crew member and three passengers were injured. At the time of the accident, the visibility was limited to a half a mile in snow falls and freezing rain. Also, it was reported that both the freezing rain sensor and the Runway Visual Range (RVR) system values were not available at the time of the accident."
"Feb 28, 2019",Piper PA-46 Malibu Meridian (Malibu Mirage),"Shreveport-Downtown, Louisiana",2,N428CD,http://www.baaa-acro.com/crash/crash-piper-pa-46-350p-malibu-mirage-shreveport-2-killed,Takeoff (climb),"Shortly after takeoff from Shreveport-Downtown Airport, the pilot declared an emergency and elected to return when the single engine airplane went out of control and crashed into the Red River near the airport. The wreckage was localized about a day later. Both occupants have been killed. "
"Feb 23, 2019",Boeing 767-300,"Anahuac, Texas",3,N1217A,http://www.baaa-acro.com/crash/crash-boeing-767-375er-anahuac-3-killed,Flight,"The crew was completing a cargo flight from Miami-Intl to Houston on behalf of Amazon Prime Air. Following an uneventful flight, he started the descent to Houston-George Bush International Airport at 1207LT. About 30 minutes later, in unclear circumstances, after being cleared to descent to 3,000 feet, the airplane went out of control, entered a rapid descent and crashed into the Trinity Bay, about 37 miles southeast of the airport. The aircraft disintegrated on impact and debris were found partially submerged off Anahuac. The accident was not survivable. The crew did not send any distress call prior to impact. According to NTSB, the aircraft entered a rapid descent from 6,000 ft and impacted a marshy bay area about 40 miles southeast of George Bush Intercontinental Airport (KIAH), Houston, Texas. Air traffic control communications and radar data indicated the flight was normal from Miami to the Houston terminal area. About 12:30 pm the pilots contacted the Houston terminal radar approach control (TRACON) arrival controller and reported descending for runway 26L; the airplane was at 17,800 ft with a ground speed 320 knots. At 12:34, the airplane was descending through 13,800 ft, and the controller advised of an area of light to heavy precipitation along the flight route and that they could expect vectors around the weather. About 12:35, the flight was transferred to the Houston TRACON final controller, and the pilot reported they had received the Houston Automatic Terminal Information System weather broadcast. The controller told the pilots to expect vectors to runway 26L and asked if they wanted to go to the west or north of the weather. Radar data indicated the airplane continued the descent through 12,000 ft with a ground speed of 290 knots, consistent with the arrival procedure. The pilots responded that they wanted to go to the west of the area of precipitation. The controller advised that to do so, they would need to descend to 3,000 ft expeditiously. About 12:37, the controller instructed the pilots to turn to a heading of 270°. Radar data indicated the airplane turned, and the automatic dependent surveillance-broadcast (ADS-B) data indicated a selected heading of 270°. The airplane was descending through 8,500 ft at this time. About 12:38, the controller informed the pilots that they would be past the area of weather in about 18 miles, that they could expect a turn to the north for a base leg to the approach to runway 26L, and that weather was clear west of the precipitation area. The pilots responded, “sounds good” and “ok.” At this time, radar and ADS-B returns indicated the airplane levelled briefly at 6,200 ft and then began a slight climb to 6,300 ft. Also, about this time, the FDR data indicated that some small vertical accelerations consistent with the airplane entering turbulence. Shortly after, when the airplane’s indicated airspeed was steady about 230 knots, the engines increased to maximum thrust, and the airplane pitch increased to about 4° nose up and then rapidly pitched nose down to about 49° in response to column input. The stall warning (stick shaker) did not activate. FDR, radar, and ADS-B data indicated that the airplane entered a rapid descent on a heading of 270°, reaching an airspeed of about 430 knots. A security camera video captured the airplane in a steep, generally wings-level attitude until impact with the swamp. FDR data indicated that the airplane gradually pitched up to about 20 degrees nose down during the descent."
"Feb 15, 2019",Cessna 421C Golden Eagle III,"Waterfield Lake, Texas",2,N421NS,http://www.baaa-acro.com/crash/crash-cessna-421c-golden-eagle-iii-near-waterfield-lake-2-killed,Flight,"In unknown circumstances, the twin engine airplane went out of control and crashed in flames near Waterfield Lake, west of Canadian, Texas. The aircraft disintegrated on impact and both occupants were killed. "
"Feb 8, 2019",Convair C-131 Samaritan,"Miami, Florida",1,N145GT,http://www.baaa-acro.com/crash/crash-convair-c-131b-samaritan-miami-1-killed,Flight,"The airplane departed Nassau-Lynden Pindling Airport at 1113LT back to Opa Locka in Miami after delivering various goods. At 1203LT, while cruising at an altitude of 4,300 feet in good weather conditions, the crew declared an emergency and informed ATC about a double engine failure. The crew elected to ditch the aircraft that crashed into the sea 12 minutes later about 13 miles east of the Bay Harbor Islands. Coast Guards were quickly dispatched on the scene and the copilot aged 28 was able to climb by himself in the rescue basket and to be airlifted to hospital. Unfortunately, the captain aged 68 died. On Feb 22nd 2019 the NTSB released a preliminary report stating the crew had departed Opa Locka for Nassau with 900 gallons of fuel on board but experienced trouble with the left hand propeller control enroute to Nassau when the propeller became stuck at 2,400 rpm. The crew was unable to reset the propeller control. A message sent to maintenance did not transmit. The captain decided that they wouldn't start up for the return flight, if the propeller control had not reset they'd shut down again and wait for maintenance. Both engines and propellers came up normally however and they departed for Opa Locka. Climbing through 4,000 feet the left hand propeller became again stuck at 2,400 rpm. The captain managed to bump the propeller up to 2,700 rpm, equalized power on both engines, levelled off at 4,500 feet, cancelled the IFR flight plan and continued visually to Opa Locka. The flight was uneventful until they began the descent to 1,500 feet. At that point the right hand engine ""backfired"" and surged. The crew shut the engine down. A short time later the left hand engine also backfired and surged. The captain continued flying the aircraft while the first officer worked the related checklists, however, when they were getting too low and it became clear they had to ditch the captain instructed to declare Mayday and brace for impact."
"Feb 6, 2019",Piper PA-46 Malibu Meridian (Malibu Mirage),"Aurora State, Oregon",0,N997MA,http://www.baaa-acro.com/crash/crash-piper-pa-46-350p-malibu-mirage-aurora,Landing (descent or approach),"On final approach to Aurora State Airport, the single engine airplane struck approach lights then crashed. On impact, the right wing was torn off and the airplane came to rest on its belly. Both occupants were injured and the aircraft was damaged beyond repair. "
"Feb 3, 2019",Cessna 414 Chancellor,"Yorba Linda, California",5,N414RS,http://www.baaa-acro.com/crash/crash-cessna-414a-chancellor-yorba-linda-5-killed,Takeoff (climb),"Few minutes after takeoff from Fullerton Municipal Airport, while on a local flight, the pilot lost control of the airplane that crashed onto a house located in Yorba Linda, about 9 miles northeast of Fullerton Airfield. The house was totally destroyed by fire and four of its occupants were killed. The twin engine aircraft was destroyed and its pilot, sole on board, was also killed. "
"Jan 30, 2019",Beechcraft 200 Super King Air,"Whatì, Northwest Territories",2,C-GTUC,http://www.baaa-acro.com/crash/crash-beechcraft-200-super-king-whati-2-killed,Flight,"While approaching Whatì Airfield in poor weather conditions (heavy snow falls), the twin engine airplane crashed in unknown circumstances about 30 km from the airport. The wreckage was localized a day later and it was confirmed that both pilots were killed. SAR operations were hampered by poor weather. "
"Jan 29, 2019",Beechcraft 200 Super King Air,"Kake, Alaska",3,N13LY,http://www.baaa-acro.com/crash/crash-beechcraft-b200-super-king-air-kake-3-killed,Landing (descent or approach),"The twin engine airplane was engaged in an ambulance flight from Anchorage to Kake, carrying one pilot and two nurses. While descending to Kake Airport in light rain and overcast, the airplane went out of control and crashed into the sea about 20 miles west of the airfield. All SAR operations were abandoned about two days later and only some debris were found, floating on water. Unfortunately, no trace of the three occupants. "
"Jan 25, 2019",Cessna 207 Skywagon/Stationair,"Cayenne-Rochambeau-Félix Eboué, All French Guyana",0,F-OSIA,http://www.baaa-acro.com/crash/crash-cessna-207-stationair-7-cayenne,Takeoff (climb),"After takeoff from Cayenne-Rochambeau-Félix Eboué Airport, the single engine airplane encountered difficulties to gain height. It struck trees, stalled and crashed upside down. The aircraft was destroyed and the pilot, sole on board, was seriously injured. A fire was quickly extinguished. The airplane was operated by Société de Location Air Frégate (SLAF) / Siage. "
"Jan 21, 2019",Douglas DC-3,"Kidron-Stoltzfus, Ohio",2,N467KS,http://www.baaa-acro.com/crash/crash-ami-dc-3-65tp-kidron-2-killed,Takeoff (climb),"The airplane departed Kidron-Stoltzfus Airport on a ferry flight to Akron-Canton Airport, Ohio, carrying four passengers and a crew of two. Shortly after takeoff, while in initial climb, the airplane lost height, struck power cables and tree tops then crashed in a snow covered garden. The aircraft was destroyed, both pilots were killed and all four passengers were injured. "
"Jan 21, 2019",Piper PA-46 Malibu Meridian (Malibu Mirage),"Alderney, Channel Islands",2,N264DB,http://www.baaa-acro.com/crash/crash-piper-pa-46-310p-malibu-alderney-2-killed,Flight,"The aircraft departed Nantes at 1915LT for Cardiff, carrying one passenger (the Argentinian football player Emiliano Sala) and one pilot. While cruising over the Channel Islands at an altitude of 5,000 feet in marginal weather conditions, the pilot requested to reduce his altitude after passing over Guernsey. Jersey ATC lost contact whilst it was flying at 2,300 feet. SAR operations were engaged on Monday night until 0200LT Tuesday and were re-deployed in Tuesday morning. After 24 hours, the wreckage has not been found. At the time of the accident, weather conditions were marginal with rain falls and winds up to 50 km/h. On February 4, 2019, the wreckage (relatively intact) was found at a depth of 63 meters few km north of the island of Guernsey. On February 6, a dead body was found in the cabin and recovered. It was later confirmed this was Emiliano Sala. "
"Jan 14, 2019",Boeing 707,"Fath, Tehran City District",15,EP-CPP,http://www.baaa-acro.com/crash/crash-boeing-707-3j9c-fath-15-killed,Landing (descent or approach),"The airplane, owned by the Islamic Republic of Iran Air Force (IRIAF) was completing a cargo flight from Bishkek, Kyrgyzstan, on behalf of Saha Airlines, and was supposed to land at Payam Airport located southwest of Karaj, carrying a load of meat. On approach, the crew encountered marginal weather conditions and the pilot mistakenly landed on runway 31L at Fath Airport instead of runway 30 at Payam Airport which is located 10 km northwest. After touchdown, control was lost and the airplane was unable to stop within the remaining distance (runway 31L is 1,140 meters long), overran and crashed in flames into several houses located past the runway end. The aircraft was destroyed by fire as well as few houses. The flight engineer was evacuated while 15 other occupants were killed. "
"Jan 13, 2019",Canadair CL-601 Challenger,"Ox Ranch (Uvalde), Texas",0,N813WT,http://www.baaa-acro.com/crash/crash-canadair-cl-601-challenger-ox-ranch,Landing (descent or approach),"Upon landing on runway 35 at Ox Ranch Airport located about 26 miles northwest of Uvalde, the undercarriage collapsed. The airplane slid on the ground, veered off runway and came to rest. All nine occupants escaped uninjured. 
Source: https://www.facebook.com/groups/574106516284971/permalink/778397329189221/
Photos: Henry A. Burns"
"Jan 12, 2019",Partenavia P.68,"Strausberg, Brandenburg",2,D-GINA,http://www.baaa-acro.com/crash/crash-partenavia-p68b-victor-near-strausberg-2-killed,Flight,"The twin engine airplane departed Strausberg Airport at 1100LT on a local plaisance flight. About 45 minutes later, it crashed inknown circumstances in an open field located few km from the airfield. The aircraft disintegrated on impact and both occupants were killed. "
"Dec 24, 2018",Antonov AN-26,"Beni, Nord-Kivu",0,9T-TAB,http://www.baaa-acro.com/crash/crash-antonov-26b-beni,Landing (descent or approach),"The airplane was completing a flight from Kisangani to Beni, carrying 68 soldiers who should be dispatched in the region of Beni. After touchdown, the airplane encountered difficulties to stop within the remaining distance, overran and went down an embankment. It came to rest in flames, broken into several pieces. While all 72 occupants evacuated safely, 10 of them were injured, the aircraft was destroyed. "
"Dec 20, 2018",Cessna 560 Citation V,"Atlanta-Fulton County-Brown Field, Georgia",4,N188CW,http://www.baaa-acro.com/crash/crash-cessna-560-citation-v-atlanta-4-killed,Takeoff (climb),"Less than a minute after takeoff from runway 08 at Atlanta-Fulton County-Brown Field Airport, the crew was instructed to turn heading 310° when the airplane went out of control and crashed in a sports field. Upon impact, the aircraft partially disintegrated before it came to rest in flames in a wooded area in English Park, about 1,3 mile northeast of the airport. The aircraft was destroyed and all four occupants have been killed. "
